District,FarmSize,Prod,Buy_Prod_AvgVal,Loss_AvgVal,lossPerProd,altitudeCateg
Killah Saifullah,>25 Acres,Average,22000,4500,0.204545455,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,5000,1500,0.3,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,4000,1000,0.25,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,3000,1200,0.4,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,30000,4000,0.133333333,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,1500,200,0.133333333,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,20000,4000,0.2,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,10000,1500,0.15,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,8000,1000,0.125,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,16000,3500,0.21875,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,1000,200,0.2,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,1500,200,0.133333333,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,10000,2000,0.2,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,2500,500,0.2,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,14000,4000,0.285714286,Lower (< 1900)
Killah Saifullah,5 to 25 Acres,Average,13000,3500,0.269230769,Lower (< 1900)
Killah Saifullah,>25 Acres,Average,20000,4000,0.2,Lower (< 1900)
Killah Saifullah,<5 Acres,Average,200,15,0.075,Lower (< 1900)
